#        N                    x^-2                   Error                   log_N               log_Error
        10        1.00000000000000        0.03327744081616        1.00000000000000       -1.47785007953644
       100        0.25000000000000        0.00105799629819        2.00000000000000       -2.97551584243774
      1000        0.11111111193895        0.00003361970812        3.00000000000000       -4.47340583801270
     10000        0.06250000000000        0.00000265618451        4.00000000000000       -5.57574176788330
    100000        0.03999999910593        0.00000622306106        5.00000000000000       -5.20599603652954
   1000000        0.02777777798474        0.00059164612321        6.00000000000000       -3.22793793678284
  10000000        0.02040816284716        0.03699063509703        7.00000000000000       -1.43190824985504
  ********        0.01562500000000        0.68169009685516        8.00000000000000       -0.16641302406788
