#            N                    x^-4                   Error                   log_N               log_Error
            10        1.00000000000000        0.03327736258507        1.00000000000000       -1.47785115242004
           100        0.06250000000000        0.00105822389014        2.00000000000000       -2.97542238235474
          1000        0.01234567910433        0.00003407505210        3.00000000000000       -4.46756362915039
         10000        0.00390625000000        0.00000250440257        4.00000000000000       -5.60129594802856
        100000        0.00159999995958        0.00000569182430        5.00000000000000       -5.24474859237671
       1000000        0.00077160494402        0.00059179792879        6.00000000000000       -3.22782659530640
      10000000        0.00041649313061        0.03699063509703        7.00000000000000       -1.43190824985504
     100000000        0.00024414062500        0.68169009685516        8.00000000000000       -0.16641302406788
