#        N                    x^-2                   Error                   log_N               log_Error
        10        1.00000000000000        0.03327744081616        1.00000000000000       -1.47785007953644
       100        0.25000000000000        0.00105829979293        2.00000000000000       -2.97539138793945
      1000        0.11111111193895        0.00003331614425        3.00000000000000       -4.47734546661377
     10000        0.06250000000000        0.00000258029354        4.00000000000000       -5.58833074569702
    100000        0.03999999910593        0.00000584360623        5.00000000000000       -5.23331928253174
   1000000        0.02777777798474        0.00059172202600        6.00000000000000       -3.22788238525391
  10000000        0.02040816284716        0.03699070960283        7.00000000000000       -1.43190729618073
