 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.315360000000E+06      0.397800000000E+34      0.149565227280E+14     -0.313119665942E+12     -0.207835635210E+05     -0.992750928955E+06     -0.658946216889E-01      0.137952532857E-02
     2      0.946080000000E+06      0.397800000000E+34      0.149303131672E+14     -0.938810292149E+12     -0.623142697935E+05     -0.991011248797E+06     -0.657791490549E-01      0.413615852862E-02
     2      0.157680000000E+07      0.397800000000E+34      0.148779399749E+14     -0.156285576287E+13     -0.103735777581E+06     -0.987534937068E+06     -0.655484061392E-01      0.688554359371E-02
     2      0.220752000000E+07      0.397800000000E+34      0.147994949288E+14     -0.218416251124E+13     -0.144975500525E+06     -0.982328085599E+06     -0.652027972916E-01      0.962286254748E-02
     2      0.283824000000E+07      0.397800000000E+34      0.146951154949E+14     -0.280164176967E+13     -0.185961170824E+06     -0.975399818789E+06     -0.647429281514E-01      0.123433185580E-01
     2      0.346896000000E+07      0.397800000000E+34      0.145649845859E+14     -0.341421147784E+13     -0.226620965874E+06     -0.966762277618E+06     -0.641696045856E-01      0.150421443437E-01
     2      0.409968000000E+07      0.397800000000E+34      0.144093302409E+14     -0.402079817879E+13     -0.266883634129E+06     -0.956430598366E+06     -0.634838312765E-01      0.177146105274E-01
     2      0.473040000000E+07      0.397800000000E+34      0.142284252262E+14     -0.462033890013E+13     -0.306678619963E+06     -0.944422886097E+06     -0.626868099620E-01      0.203560339242E-01
     2      0.536112000000E+07      0.397800000000E+34      0.140225865566E+14     -0.521178301670E+13     -0.345936187307E+06     -0.930760182924E+06     -0.617799373288E-01      0.229617857478E-01
     2      0.599184000000E+07      0.397800000000E+34      0.137921749404E+14     -0.579409409170E+13     -0.384587541856E+06     -0.915466431140E+06     -0.607648025653E-01      0.255272997223E-01
     2      0.662256000000E+07      0.397800000000E+34      0.135375941470E+14     -0.636625169291E+13     -0.422564951620E+06     -0.898568431260E+06     -0.596431845764E-01      0.280480800840E-01
