 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.129297600000E+08      0.198900000000E+34     -0.195609303792E+14      0.226396215724E+14      0.150272264801E+07      0.129837209807E+07      0.861804668634E-01     -0.997443945100E-01
     1      0.135604800000E+08      0.198900000000E+34     -0.185962708616E+14      0.234384549855E+14      0.155574584283E+07      0.123434206570E+07      0.819304232562E-01     -0.103263850678E+00
     1      0.141912000000E+08      0.198900000000E+34     -0.175990235493E+14      0.241962152411E+14      0.160604277461E+07      0.116814899288E+07      0.775368061405E-01     -0.106602349001E+00
     1      0.148219200000E+08      0.198900000000E+34     -0.165709360018E+14      0.249115744528E+14      0.165352530384E+07      0.109990887523E+07      0.730073148175E-01     -0.109754039149E+00
     1      0.154526400000E+08      0.198900000000E+34     -0.155138098225E+14      0.255832790371E+14      0.169811022293E+07      0.102974129560E+07      0.683498866918E-01     -0.112713398153E+00
     1      0.160833600000E+08      0.198900000000E+34     -0.144294975017E+14      0.262101519100E+14      0.173971940201E+07      0.957769214484E+06      0.635726833625E-01     -0.115475240081E+00
     1      0.167140800000E+08      0.198900000000E+34     -0.133198991702E+14      0.267910945500E+14      0.177827992585E+07      0.884118754547E+06      0.586840763207E-01     -0.118034725128E+00
     1      0.173448000000E+08      0.198900000000E+34     -0.121869592697E+14      0.273250889229E+14      0.181372422163E+07      0.808918979628E+06      0.536926322796E-01     -0.120387368094E+00
     1      0.179755200000E+08      0.198900000000E+34     -0.110326631450E+14      0.278111992658E+14      0.184599017735E+07      0.732301668558E+06      0.486070981622E-01     -0.122529046247E+00
     1      0.186062400000E+08      0.198900000000E+34     -0.985903356545E+13      0.282485737270E+14      0.187502125069E+07      0.654401084232E+06      0.434363857735E-01     -0.124456006546E+00
     1      0.192369600000E+08      0.198900000000E+34     -0.866812717996E+13      0.286364458588E+14      0.190076656808E+07      0.575353738333E+06      0.381895561834E-01     -0.126164872217E+00
     1      0.198676800000E+08      0.198900000000E+34     -0.746203091299E+13      0.289741359606E+14      0.192318101385E+07      0.495298152111E+06      0.328758038483E-01     -0.127652648672E+00
     1      0.204984000000E+08      0.198900000000E+34     -0.624285830752E+13      0.292610522698E+14      0.194222530929E+07      0.414374613639E+06      0.275044404990E-01     -0.128916728756E+00
     1      0.211291200000E+08      0.198900000000E+34     -0.501274582127E+13      0.294966919991E+14      0.195786608151E+07      0.332724931974E+06      0.220848788230E-01     -0.129954897317E+00
     1      0.217598400000E+08      0.198900000000E+34     -0.377384908286E+13      0.296806422172E+14      0.197007592186E+07      0.250492188657E+06      0.166266159695E-01     -0.130765335084E+00
     1      0.223905600000E+08      0.198900000000E+34     -0.252833911425E+13      0.298125805730E+14      0.197883343403E+07      0.167820486974E+06      0.111392169074E-01     -0.131346621859E+00
     1      0.230212800000E+08      0.198900000000E+34     -0.127839852635E+13      0.298922758597E+14      0.198412327149E+07      0.848546994369E+05      0.563229766307E-02     -0.131697739006E+00
     1      0.236520000000E+08      0.198900000000E+34     -0.262176941948E+11      0.299195884207E+14      0.198593616442E+07      0.174021390718E+04      0.115508469979E-03     -0.131818071231E+00
     1      0.242827200000E+08      0.198900000000E+34      0.122600908141E+13      0.298944703939E+14      0.198426893593E+07     -0.813773211766E+05     -0.540148314253E-02     -0.131707407666E+00
     1      0.249134400000E+08      0.198900000000E+34      0.247608741914E+13      0.298169657956E+14      0.197912450764E+07     -0.164352252032E+06     -0.109090092903E-01     -0.131365942236E+00
     1      0.255441600000E+08      0.198900000000E+34      0.372182670256E+13      0.296872104437E+14      0.197051189457E+07     -0.247039174773E+06     -0.163974186764E-01     -0.130794273319E+00
     1      0.261748800000E+08      0.198900000000E+34      0.496104391892E+13      0.295054317192E+14      0.195844618930E+07     -0.329293190216E+06     -0.218570935037E-01     -0.129993402697E+00
     1      0.268056000000E+08      0.198900000000E+34      0.619156748463E+13      0.292719481681E+14      0.194294853558E+07     -0.410970157794E+06     -0.272784663288E-01     -0.128964733803E+00
     1      0.274363200000E+08      0.198900000000E+34      0.741124105070E+13      0.289871689430E+14      0.192404609123E+07     -0.491926948150E+06     -0.326520368284E-01     -0.127710069259E+00
     1      0.280670400000E+08      0.198900000000E+34      0.861792728151E+13      0.286515930863E+14      0.190177198058E+07     -0.572021693954E+06     -0.379683884470E-01     -0.126231607716E+00
     1      0.286977600000E+08      0.198900000000E+34      0.980951160022E+13      0.282658086556E+14      0.187616523641E+07     -0.651114038507E+06     -0.432182048985E-01     -0.124531940007E+00
     1      0.293284800000E+08      0.198900000000E+34      0.109839058943E+14      0.278304916930E+14      0.184727073154E+07     -0.729065381703E+06     -0.483922864918E-01     -0.122614044601E+00
     1      0.299592000000E+08      0.198900000000E+34      0.121390521748E+14      0.273464050407E+14      0.181513910022E+07     -0.805739122906E+06     -0.534815662525E-01     -0.120481282384E+00
     1      0.305899200000E+08      0.198900000000E+34      0.132729261827E+14      0.268143970040E+14      0.177982664939E+07     -0.881000900327E+06     -0.584771258112E-01     -0.118137390774E+00
     1      0.312206400000E+08      0.198900000000E+34      0.143835409359E+14      0.262353998649E+14      0.174139526000E+07     -0.954718826482E+06     -0.633702110326E-01     -0.115586477167E+00
     1      0.318513600000E+08      0.198900000000E+34      0.154689502117E+14      0.256104282484E+14      0.169991227856E+07     -0.102676371930E+07     -0.681522473552E-01     -0.112833011741E+00
     1      0.324820800000E+08      0.198900000000E+34      0.165272519570E+14      0.249405773443E+14      0.165545039916E+07     -0.109700932852E+07     -0.728148548182E-01     -0.109881819624E+00
     1      0.331128000000E+08      0.198900000000E+34      0.175565916214E+14      0.242270209882E+14      0.160808753606E+07     -0.116533255690E+07     -0.773498627457E-01     -0.106738072434E+00
     1      0.337435200000E+08      0.198900000000E+34      0.185551654072E+14      0.234710096042E+14      0.155790668714E+07     -0.123161367594E+07     -0.817493240649E-01     -0.103407279222E+00
     1      0.343742400000E+08      0.198900000000E+34      0.195212234304E+14      0.226738680142E+14      0.150499578849E+07     -0.129573653573E+07     -0.860055292331E-01     -0.998952768135E-01
     1      0.350049600000E+08      0.198900000000E+34      0.204530727870E+14      0.218369931157E+14      0.144944756029E+07     -0.135758876843E+07     -0.901110197467E-01     -0.962082195838E-01
     1      0.356356800000E+08      0.198900000000E+34      0.213490805197E+14      0.209618514343E+14      0.139135934432E+07     -0.141706198520E+07     -0.940586012125E-01     -0.923525686701E-01
     1      0.362664000000E+08      0.198900000000E+34      0.222076764794E+14      0.200499765539E+14      0.133083293340E+07     -0.147405196619E+07     -0.978413559540E-01     -0.883350806508E-01
