 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.315360000000E+03      0.397800000000E+34      0.149598000000E+14     -0.313142533688E+09     -0.207850813232E+02     -0.992968460453E+06     -0.659090604691E-01      0.137962607712E-05
     2      0.631035360000E+06      0.397800000000E+34      0.149466857971E+14     -0.626415284100E+12     -0.415787785444E+05     -0.992097995332E+06     -0.658511960026E-01      0.275982222495E-02
     2      0.126175536000E+07      0.397800000000E+34      0.149073792831E+14     -0.125142025585E+13     -0.830638918015E+05     -0.989488997304E+06     -0.656779349003E-01      0.551342369010E-02
     2      0.189247536000E+07      0.397800000000E+34      0.148419493494E+14     -0.187423281240E+13     -0.124403426941E+06     -0.985146041425E+06     -0.653895806903E-01      0.825735857425E-02
     2      0.252319536000E+07      0.397800000000E+34      0.147505106661E+14     -0.249376155230E+13     -0.165524941105E+06     -0.979076741380E+06     -0.649866386031E-01      0.109868183164E-01
     2      0.315391536000E+07      0.397800000000E+34      0.146332234804E+14     -0.310892083062E+13     -0.206356373453E+06     -0.971291736174E+06     -0.644698146938E-01      0.136970196701E-01
     2      0.378463536000E+07      0.397800000000E+34      0.144902933364E+14     -0.371863266151E+13     -0.246826171450E+06     -0.961804671515E+06     -0.638400146114E-01      0.163832130885E-01
     2      0.441535536000E+07      0.397800000000E+34      0.143219707143E+14     -0.432182860731E+13     -0.286863416284E+06     -0.950632175936E+06     -0.630983420192E-01      0.190406910509E-01
     2      0.504607536000E+07      0.397800000000E+34      0.141285505922E+14     -0.491745165101E+13     -0.326397947158E+06     -0.937793831682E+06     -0.622460966669E-01      0.216647963163E-01
     2      0.567679536000E+07      0.397800000000E+34      0.139103719283E+14     -0.550445804866E+13     -0.365360484274E+06     -0.923312140415E+06     -0.612847721191E-01      0.242509300895E-01
     2      0.630751536000E+07      0.397800000000E+34      0.136678170676E+14     -0.608181915854E+13     -0.403682750270E+06     -0.907212483808E+06     -0.602160531435E-01      0.267945600857E-01
     2      0.693823536000E+07      0.397800000000E+34      0.134013110716E+14     -0.664852324388E+13     -0.441297589902E+06     -0.889523079080E+06     -0.590418127636E-01      0.292912284793E-01
     2      0.756895536000E+07      0.397800000000E+34      0.131113209730E+14     -0.720357724603E+13     -0.478139087765E+06     -0.870274929564E+06     -0.577641089804E-01      0.317365597216E-01
     2      0.819967536000E+07      0.397800000000E+34      0.127983549577E+14     -0.774600852479E+13     -0.514142683846E+06     -0.849501770385E+06     -0.563851811702E-01      0.341262682164E-01
     2      0.883039536000E+07      0.397800000000E+34      0.124629614738E+14     -0.827486656303E+13     -0.549245286697E+06     -0.827240009347E+06     -0.549074461632E-01      0.364561658376E-01
     2      0.946111536000E+07      0.397800000000E+34      0.121057282705E+14     -0.878922463258E+13     -0.583385384046E+06     -0.803528663132E+06     -0.533334940102E-01      0.387221692759E-01
     2      0.100918353600E+08      0.397800000000E+34      0.117272813676E+14     -0.928818141834E+13     -0.616503150632E+06     -0.778409288922E+06     -0.516660834455E-01      0.409203072029E-01
     2      0.107225553600E+08      0.397800000000E+34      0.113282839589E+14     -0.977086259791E+13     -0.648540553091E+06     -0.751925911563E+06     -0.499081370531E-01      0.430467272391E-01
     2      0.113532753600E+08      0.397800000000E+34      0.109094352490E+14     -0.102364223739E+14     -0.679441451698E+06     -0.724124946399E+06     -0.480627361448E-01      0.450977027128E-01
     2      0.119839953600E+08      0.397800000000E+34      0.104714692284E+14     -0.106840449562E+14     -0.709151698794E+06     -0.695055117915E+06     -0.461331153599E-01      0.470696392001E-01
     2      0.126147153600E+08      0.397800000000E+34      0.100151533866E+14     -0.111129459919E+14     -0.737619233720E+06     -0.664767374323E+06     -0.441226569944E-01      0.489590808315E-01
     2      0.132454353600E+08      0.397800000000E+34      0.954128736694E+13     -0.115223739394E+14     -0.764794174088E+06     -0.633314798248E+06     -0.420348850713E-01      0.507627163573E-01
     2      0.138761553600E+08      0.397800000000E+34      0.905070156475E+13     -0.119116113861E+14     -0.790628903237E+06     -0.600752513670E+06     -0.398734591618E-01      0.524773849579E-01
     2      0.145068753600E+08      0.397800000000E+34      0.854425567211E+13     -0.122799763051E+14     -0.815078153719E+06     -0.567137589279E+06     -0.376421679670E-01      0.541000817914E-01
     2      0.151375953600E+08      0.397800000000E+34      0.802283717069E+13     -0.126268232509E+14     -0.838099086655E+06     -0.532528938426E+06     -0.353449226744E-01      0.556279632667E-01
     2      0.157683153600E+08      0.397800000000E+34      0.748735977618E+13     -0.129515444900E+14     -0.859651366846E+06     -0.496987215824E+06     -0.329857500968E-01      0.570583520340E-01
