 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.454121553599E+08      0.198900000000E+34      0.296804209231E+14      0.380445289739E+13      0.252600954664E+06     -0.196968832389E+07     -0.130716435209E+00     -0.167553055247E-01
     1      0.460428753599E+08      0.198900000000E+34      0.298137118100E+14      0.255916272453E+13      0.169958764381E+06     -0.197852878128E+07     -0.131302260729E+00     -0.112707821638E-01
     1      0.466735953599E+08      0.198900000000E+34      0.298947773637E+14      0.130938850591E+13      0.870195406679E+05     -0.198390334113E+07     -0.131658070696E+00     -0.576661141781E-02
     1      0.473043153599E+08      0.198900000000E+34      0.299234760149E+14      0.573195204967E+11      0.392857439060E+04     -0.198580264939E+07     -0.131783248871E+00     -0.252435667268E-03
     1      0.479350353599E+08      0.198900000000E+34      0.298997579277E+14     -0.119485097130E+13     -0.791685822288E+05     -0.198422343993E+07     -0.131677583050E+00      0.526208567930E-02
     1      0.485657553599E+08      0.198900000000E+34      0.298236650846E+14     -0.244492956968E+13     -0.162126370585E+06     -0.197916853990E+07     -0.131341265398E+00      0.107672931070E-01
     1      0.491964753599E+08      0.198900000000E+34      0.296953312097E+14     -0.369072657752E+13     -0.244799480654E+06     -0.197064686452E+07     -0.130774892075E+00      0.162535439138E-01
     1      0.498271953599E+08      0.198900000000E+34      0.295149815320E+14     -0.493005983575E+13     -0.327043105497E+06     -0.195867340110E+07     -0.129979462159E+00      0.217112290979E-01
     1      0.504579153599E+08      0.198900000000E+34      0.292829323878E+14     -0.616075854534E+13     -0.408713194865E+06     -0.194326918249E+07     -0.128956375859E+00      0.271307901827E-01
     1      0.510886353599E+08      0.198900000000E+34      0.289995906640E+14     -0.738066706920E+13     -0.489666707450E+06     -0.192446124997E+07     -0.127707432029E+00      0.325027359520E-01
     1      0.517193553599E+08      0.198900000000E+34      0.286654530825E+14     -0.858764870732E+13     -0.569761861352E+06     -0.190228260551E+07     -0.126234824982E+00      0.378176590635E-01
     1      0.523500753599E+08      0.198900000000E+34      0.282811053278E+14     -0.977958943855E+13     -0.648858382321E+06     -0.187677215374E+07     -0.124541140614E+00      0.430662525137E-01
     1      0.529807953599E+08      0.198900000000E+34      0.278472210185E+14     -0.109544016225E+14     -0.726817749328E+06     -0.184797463349E+07     -0.122629351844E+00      0.482393259246E-01
     1      0.536115153599E+08      0.198900000000E+34      0.273645605246E+14     -0.121100276550E+14     -0.803503437057E+06     -0.181594053915E+07     -0.120502813373E+00      0.533278216234E-01
     1      0.542422353599E+08      0.198900000000E+34      0.268339696334E+14     -0.132444435709E+14     -0.878781154874E+06     -0.178072603197E+07     -0.118165255783E+00      0.583228304883E-01
     1      0.548729553599E+08      0.198900000000E+34      0.262563780659E+14     -0.143556625874E+14     -0.952519081870E+06     -0.174239284144E+07     -0.115620778971E+00      0.632156075314E-01
     1      0.555036753599E+08      0.198900000000E+34      0.256327978461E+14     -0.154417385831E+14     -0.102458809756E+07     -0.170100815693E+07     -0.112873844946E+00      0.679975871924E-01
     1      0.561343953599E+08      0.198900000000E+34      0.249643215259E+14     -0.165007695040E+14     -0.109486200782E+07     -0.165664450977E+07     -0.109929269986E+00      0.726603983168E-01
