/cluster/home/yhkuo/.conda/envs/compAstro/bin/python
/cluster/home/yhkuo/Entropy_and_Area/testK.py:152: UserWarning: Matplotlib is currently using agg, which is a non-GUI backend, so cannot show the figure.
  #plt.show()
r=1, S_total_r=0.635258715648782
r=2, S_total_r=1.8018541676363249
r=3, S_total_r=3.568933368148906
r=4, S_total_r=5.928585557220714
r=5, S_total_r=8.879684490369515
r=6, S_total_r=12.421884947241667
r=7, S_total_r=16.55504302170185
r=8, S_total_r=21.279085321630074
r=9, S_total_r=26.593949920240597
r=10, S_total_r=32.49960862670127
r=11, S_total_r=38.996036919965015
r=12, S_total_r=46.08322512672461
r=13, S_total_r=53.76114007437326
r=14, S_total_r=62.02977803501781
r=15, S_total_r=70.88912835901485
r=16, S_total_r=80.33918158694784
r=17, S_total_r=90.37992926130153
r=18, S_total_r=101.01136342332342
r=19, S_total_r=112.23349176126867
r=20, S_total_r=124.04627751567273
r=21, S_total_r=136.44972792049904
r=22, S_total_r=149.44383591438947
r=23, S_total_r=163.02859422571441
r=24, S_total_r=177.20399561597532
r=25, S_total_r=191.97003239502158
r=26, S_total_r=207.32669675107286
r=27, S_total_r=223.2740018185191
r=28, S_total_r=239.81189700993826
r=29, S_total_r=256.9403938329972
r=30, S_total_r=274.6594824541268
r=31, S_total_r=292.96915260845964
r=32, S_total_r=311.86939334643665
r=33, S_total_r=331.36019273822933
r=34, S_total_r=351.44153824462774
r=35, S_total_r=372.11344364307485
r=36, S_total_r=393.3758400329945
r=37, S_total_r=415.2287383843152
r=38, S_total_r=437.67212137771725
r=39, S_total_r=460.7059705812275
r=40, S_total_r=484.3302656847269
r=41, S_total_r=508.54498483637974
r=42, S_total_r=533.3501040168064
r=43, S_total_r=558.7455972159668
r=44, S_total_r=584.7314705228764
r=45, S_total_r=611.3076243993589
r=46, S_total_r=638.4740585925989
r=47, S_total_r=666.2307353079622
r=48, S_total_r=694.5776133773743
r=49, S_total_r=723.514647404833
r=50, S_total_r=753.0417869613638
r=51, S_total_r=783.1589766825638
r=52, S_total_r=813.8661556141548
r=53, S_total_r=845.1632944716804
r=54, S_total_r=877.0502375420335
r=55, S_total_r=909.5269396143278
r=56, S_total_r=942.5933059777807
r=57, S_total_r=976.2492301200342
r=58, S_total_r=1010.4945927417712
r=59, S_total_r=1045.3292593567598
r=60, S_total_r=1080.7530778880987
r=61, S_total_r=1116.7658774526137
r=62, S_total_r=1153.3675080842058
r=63, S_total_r=1190.5557622975382
r=64, S_total_r=1228.3261838880244
r=65, S_total_r=1266.6840146174884
r=66, S_total_r=1305.6288976234935
r=67, S_total_r=1345.160422910962
r=68, S_total_r=1385.2781182407018
r=69, S_total_r=1425.9814375410215
r=70, S_total_r=1467.2697412559226
r=71, S_total_r=1509.1422843479224
r=72, S_total_r=1551.5981878311384
r=73, S_total_r=1594.636410694982
r=74, S_total_r=1638.255711566777
r=75, S_total_r=1682.4545996434003
r=76, S_total_r=1727.2312727423164
r=77, S_total_r=1772.5835338134643
r=78, S_total_r=1818.5086843763575
r=79, S_total_r=1865.003374347877
r=80, S_total_r=1912.0634121234211
r=81, S_total_r=1959.683491900096
r=82, S_total_r=2007.8568193447202
r=83, S_total_r=2056.574583377342
r=84, S_total_r=2105.825194346579
r=85, S_total_r=2155.593164972456
r=86, S_total_r=2205.8574347349404
r=87, S_total_r=2256.588779425212
r=88, S_total_r=2307.7457298435224
r=89, S_total_r=2359.267874781088
r=90, S_total_r=2411.0645017202187
r=91, S_total_r=2462.994441998769
r=92, S_total_r=2514.8284104166955
r=93, S_total_r=2566.1740907810754
r=94, S_total_r=2616.3151726964543
r=95, S_total_r=2663.830096639862
r=96, S_total_r=2705.5659493724042
r=97, S_total_r=2733.345309757955
r=98, S_total_r=2720.2313507280373
r=99, S_total_r=2530.8213977565765
r=100, S_total_r=0
Time used: 9251.421311378479 sec
[ 2.00115228e-02  3.69509944e+01 -1.57878036e+02]
