/cluster/home/yhkuo/.conda/envs/compAstro/bin/python
/cluster/home/yhkuo/Entropy_and_Area/testK.py:152: UserWarning: Matplotlib is currently using agg, which is a non-GUI backend, so cannot show the figure.
  plt.show()
r=1, S_total_r=0.6350946721842721
r=2, S_total_r=1.8013731351772548
r=3, S_total_r=3.5679705209693715
r=4, S_total_r=5.926968885739671
r=5, S_total_r=8.877232082236116
r=6, S_total_r=12.418402144896653
r=7, S_total_r=16.550319361753736
r=8, S_total_r=21.27289118068757
r=9, S_total_r=26.5860327921113
r=10, S_total_r=32.48968893444407
r=11, S_total_r=38.98380328046036
r=12, S_total_r=46.06832890319952
r=13, S_total_r=53.74318911962675
r=14, S_total_r=62.00832938663025
r=15, S_total_r=70.8636797395635
r=16, S_total_r=80.30916131228678
r=17, S_total_r=90.34468435212881
r=18, S_total_r=100.97014538218345
r=19, S_total_r=112.18543951791075
r=20, S_total_r=123.99039689678587
r=21, S_total_r=136.38486659200072
r=22, S_total_r=149.36865288575575
r=23, S_total_r=162.94152226232927
r=24, S_total_r=177.10319466722135
r=25, S_total_r=191.85333153136673
r=26, S_total_r=207.19152099583573
r=27, S_total_r=223.11727931895433
r=28, S_total_r=239.62994019525607
r=29, S_total_r=256.72874557221303
r=30, S_total_r=274.412714942918
r=31, S_total_r=292.68060102712525
r=32, S_total_r=311.5307987827561
r=33, S_total_r=330.9612163807357
r=34, S_total_r=350.96908979865253
r=35, S_total_r=371.55073633732405
r=36, S_total_r=392.70103423004366
r=37, S_total_r=414.41295018056604
r=38, S_total_r=436.67642345974
r=39, S_total_r=459.47674066956625
r=40, S_total_r=482.7917228235563
r=41, S_total_r=506.58672406619195
r=42, S_total_r=530.8052647143477
r=43, S_total_r=555.3503549913074
r=44, S_total_r=580.0443103794662
r=45, S_total_r=604.5331350898707
r=46, S_total_r=628.029182886679
r=47, S_total_r=648.4826288245883
r=48, S_total_r=659.1188883961091
r=49, S_total_r=625.7726097327449
r=50, S_total_r=0
Time used: 722.5960547924042 sec
[ 1.65848599e-02  2.07176870e+01 -6.68437429e+01]
